province_id,region_id,code,description,
1,1,012800000,Ilocos Norte,
2,1,012900000,Ilocos Sur,
3,1,013300000,La Union,
4,1,015500000,Pangasinan,
5,2,020900000,Batanes,
6,2,021500000,Cagayan,
7,2,023100000,Isabela,
8,2,025000000,Nueva Vizcaya,
9,2,025700000,Quirino,
10,3,037700000,Aurora,
11,3,030800000,Bataan,
12,3,031400000,Bulacan,
13,3,034900000,Nueva Ecija,
14,3,035400000,Pampanga,
15,3,035401000,Angeles City,
16,3,036900000,Tarlac,
17,3,037100000,Zambales,
18,3,037107000,Olongapo City,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
